"geo_label_citystate","strata_race_label","strata_sex_label","All Cancer Deaths","Lung Cancer Deaths","Colorectal Cancer Deaths","Cardiovascular Disease Deaths","Heart Disease Deaths","Diabetes Deaths","Deaths from All Causes","Premature Death","Life Expectancy","Gun Deaths (Firearms)","Injury Deaths","Motor Vehicle Deaths","Homicides","Pneumonia or Influenza Deaths","HIV-Related Deaths","COVID-19 Deaths","Opioid Overdose Deaths","Suicide","Drug Overdose Deaths"
"Seattle, WA","Asian/PI","Male",144.0902193,34.30685965,16.39556532,156.407964,100.9008825,31.54149613,596.4748921,5619.620369,81.26883654,7.403265756,75.05421162,0,0,0,0,0,20.89641637,9.419723724,32.54315256
"San Jose, CA","White","Female",120.8124838,20.22240544,12.42163796,174.3103768,101.952695,17.37840617,591.1377595,3697.215128,84.07880222,0,48.36429701,4.624854946,0,0,0,14.56203704,10.68056579,6.198457556,23.00850821
"Dallas, TX","White","Male",152.7952735,27.34236479,14.97894145,265.269011,218.4419781,22.23260848,895.2335618,7442.520847,77.09478472,23.31309094,113.8181915,12.12085121,4.070429911,9.183686394,6.931889219,9.038541457,23.07714392,29.44578977,39.86246821
"Houston, TX","Black","Female",183.7081216,31.47331329,17.87142919,304.9627429,213.8501613,35.22097904,1018.799182,10858.74737,75.34272692,11.0784143,76.3528959,12.45349757,11.21098945,14.72129649,8.559267486,13.42963157,17.92039526,5.009536258,31.64710086
"Oklahoma City, OK","White","Female",118.6272819,29.23661512,9.572688205,184.9458536,146.8022559,17.51645096,670.623608,4909.249898,81.63624408,5.090915947,65.10436125,7.533222786,3.175647509,5.881783234,0,8.036387639,12.86190422,4.985505206,17.10518885
"Chicago, IL","Black","Female",161.7132095,33.35549064,16.11416674,258.6047135,175.373887,28.86795437,846.4422872,9965.142037,76.16493069,14.49919346,86.83705677,9.1644368,17.06831132,12.90071426,2.116389169,5.51408397,38.96455664,4.509320391,47.62965642
"Denver, CO","Black","Female",135.4140424,22.84050021,18.73234723,0,137.4138131,38.89620512,796.3946788,8488.9877,76.21860261,0,96.22022708,0,0,0,0,0,38.89466308,0,51.00291894
"Milwaukee, WI","Hispanic","Female",105.5742067,0,0,137.5643082,100.8344439,27.84987642,605.1355083,4674.420348,82.68739897,0,67.55079522,0,0,0,0,0,24.44209657,0,31.01199494
"Austin, TX","Hispanic","Female",87.02741408,10.07475475,7.16646407,117.9197001,77.48241133,21.04238274,487.6229003,3608.911376,84.11474867,3.229799197,43.10528361,8.31349861,0,5.597693192,0,0,10.65022742,4.599429194,12.41127662
"Portland, OR","Hispanic","Female",58.29365259,0,0,0,0,25.22255603,277.8014401,4144.936514,0,0,28.84220717,0,0,0,0,0,13.77828635,0,24.9065068
